Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2021,2,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,9,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Bukit Timah,2021,2,10,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Bukit Timah,2021,2,11,     6.2,     6.2,     6.2,     6.2,-,-,-,-,-
Bukit Timah,2021,2,12,     5.0,     3.6,     3.6,     4.6,-,-,-,-,-
Bukit Timah,2021,2,13,     3.0,     3.0,     3.0,     3.0,-,-,-,-,-
Bukit Timah,2021,2,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,24,     2.0,     2.0,     2.0,     2.0,-,-,-,-,-
Bukit Timah,2021,2,25,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Bukit Timah,2021,2,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2021,2,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
